BH;BP;BD;Categorie;Naam;Materiaal;Dikte - mm;Rd m2k;MG CO2 - stuk;MG CO2 - m2;Prijs/norm;Enh;Omschrijving;Duurzaam;Toepassing;Opmerking
34;33,1;10;Beglazing;HR++ - Dubbel glas (U?1,1);HR++;;;;8,108;�45;m2;Vervangen vaste beglazing HR++;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,15;15;Beglazing;HR+++ - Triple glas (U?0,6);Triple isolatieglas HR+++ (U?0,6);;;;9,04;�75;m2;HR++;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,2;20;Beglazing;Vacuum - Vacu�m glas (U?0,4);Vacu�m isolatieglas (U?0,4);;;;21;�180;m2;HR+++;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,25;25;Beglazing;HR++ Isomax - Dubbel glas (U?1,1);Dubbel isolatieglas HR++ (U?1,1);;;;11,7;�95;m2;Vacuum;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,3;30;Beglazing;HR++ - Dubbel glas (U?1,1);Dubbel isolatieglas HR++ (U?1,1);;;;1,2;�45;m2;HR++ Isomax;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,35;35;Beglazing;HR++ - Dubbel glas (U?1,1);Dubbel isolatieglas HR++ (U?1,1);;;;7,46;�45;m2;HR++;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,4;40;Beglazing;HR+++ - Triple glas (U?0,6);Triple isolatieglas HR+++ (U?0,6);;;;8,75;�75;m2;HR++;1;Ramen en kozijnen;Let op is per m2 raam oppervlakte
34;33,45;45;Vloerisolatie;Folie/thermokussen - 60 mm;Thermokussen bodem/vloerisolatie;60;3,88;;22,68;�12;m2;Folie/thermokussen - 60 mm;0;Begane grond / kruipruimte;
34;33,5;50;Vloerisolatie;Folie/thermokussen - 80 mm;Thermokussen bodem/vloerisolatie;80;4,79;;20,9304;�14;m2;Folie/thermokussen - 80 mm;0;Begane grond / kruipruimte;
34;33,55;55;Vloerisolatie;EPS bodemparels - 225 mm;EPS isolatie parels/platen;225;5,07;;20,6712;�18;m2;EPS bodemparels - 225 mm;0;Begane grond / kruipruimte;
34;33,6;60;Vloerisolatie;EPS bodemparels - 250 mm;EPS isolatie parels/platen;250;5,63;;20,5092;�20;m2;EPS bodemparels - 250 mm;0;Begane grond / kruipruimte;
34;33,65;65;Vloerisolatie;EPS bodemparels - 275 mm;EPS isolatie parels/platen;275;6,2;;4,8545;�22;m2;EPS bodemparels - 275 mm;0;Begane grond / kruipruimte;
34;33,7;70;Vloerisolatie;EPS bodemparels - 300 mm;EPS isolatie parels/platen;300;6,76;;4,05;�24;m2;EPS bodemparels - 300 mm;0;Begane grond / kruipruimte;
34;33,75;75;Vloerisolatie;EPS gerecycled - 400 mm;EPS isolatie parels/platen;400;4,99;;3,6;�26;m2;EPS bodem gerecycled - 400 mm;0;Begane grond / kruipruimte;
34;33,8;80;Vloerisolatie;EPS gerecycled - 425 mm;EPS isolatie parels/platen;425;5,31;;3,83;�28;m2;EPS bodem gerecycled - 425 mm;0;Begane grond / kruipruimte;
34;33,85;85;Vloerisolatie;EPS gerecycled - 450 mm;EPS isolatie parels/platen;450;5,93;;4,05;�30;m2;EPS bodem gerecycled - 450 mm;0;Begane grond / kruipruimte;
34;33,9;90;Vloerisolatie;BIO-EPS bodemparels - 225 mm;EPS isolatie parels/platen;225;5,07;;2,84;�22;m2;BIO-EPS bodemparels - 225 mm;1;Begane grond / kruipruimte;
34;33,95;95;Vloerisolatie;BIO-EPS bodemparels - 250 mm;EPS isolatie parels/platen;250;5,63;;3,15;�24;m2;BIO-EPS bodemparels - 250 mm;1;Begane grond / kruipruimte;
34;33,1;100;Vloerisolatie;BIO-EPS bodemparels - 275 mm;EPS isolatie parels/platen;275;6,2;;3,71;�26;m2;BIO-EPS bodemparels - 275 mm;1;Begane grond / kruipruimte;
34;33,105;105;Vloerisolatie;BIO-EPS bodemparels - 300 mm;EPS isolatie parels/platen;300;6,76;;4,05;�28;m2;BIO-EPS bodemparels - 300 mm;1;Begane grond / kruipruimte;
34;33,11;110;Vloerisolatie;PIR/Pur platen (PIR) - 80 mm;PUR/PIR hardschuim isolatie;80;3,19;;5,2;�20;m2;PUR/PIR platen - 80 mm;0;Begane grond / kruipruimte;
34;33,115;115;Vloerisolatie;Folie/thermokussen - 80 mm;Thermokussen bodem/vloerisolatie;80;4,79;;14;�14;m2;Hout;0;Begane grond / kruipruimte;
